trial_index,elapsed_ms
0,2.348900000015419
1,1.6897999998946034
2,1.6985000002023298
3,2.0104000000173983
4,1.6266999996332743
5,1.7395999998370826
6,1.9159000003128313
7,1.7818999999690277
8,1.7516999996587401
9,1.9173000000591855
10,1.7358999998577929
11,1.8020000002252345
12,1.7493000000285974
13,1.648500000101194
14,1.7460999997638282
15,1.864800000021205
16,1.5844000004108238
17,1.5432000000146218
18,1.557399999910558
19,2.076400000078138
20,1.766700000189303
21,1.5855999999985215
22,1.5772000001561537
23,1.6778000003796478
24,1.6061000001172943
25,1.5762000002723653
26,1.5794999999343418
27,1.5825000000404543
28,1.525099999980739
29,1.9428000000516477
30,1.6313999999510997
31,1.6129999999066058
32,1.9126000001961074
33,1.9121000000268396
34,1.5610000000378932
35,1.893499999823689
36,1.6272999996544968
37,1.6144000001077075
38,1.6327000003002468
39,1.6237999998338637
40,1.6640999997434847
41,1.6622000002826098
42,1.8912999998974556
43,1.6197999998439627
44,1.7064000003301771
45,1.6486999998051033
46,1.7837000000326952
47,1.646200000323006
48,1.5327999999499298
49,1.8099999997502891
50,1.702000000022963
51,1.934700000219891
52,1.9809999998869898
53,2.3667000000386906
54,2.038000000084139
55,1.8328000001019973
56,1.6452999998364248
57,1.7422000000806293
58,1.9545000000107393
59,1.6520999997737817
60,1.6292000000248663
61,1.8475000001672015
62,1.9388000000617467
63,1.8345000003137102
64,1.793800000086776
65,1.796099999864964
66,2.011000000038621
67,1.791299999695184
68,1.6995999999380729
69,1.7987999999604654
70,1.8458999998074432
71,1.7410999998901389
72,1.854399999956513
73,1.780999999937194
74,1.706000000012864
75,1.782099999672937
76,1.8012000000453554
77,1.6585000003033201
78,1.6062000004239962
79,1.6390000000683358
80,1.5743999997539504
81,1.7359000003125402
82,1.7229999998562562
83,1.7155999998976768
84,1.6933000001699838
85,1.5637999999853491
86,1.7796000001908396
87,1.6918999999688822
88,1.8220999995719467
89,2.3962999998730083
90,1.6198999996959174
91,1.6147000001183187
92,1.842799999849376
93,1.8071999998028332
94,1.6940999998951156
95,2.016899999944144
96,1.6998000000967295
97,1.586300000326446
98,2.157100000204082
99,1.8330999996578612
