trial_index,elapsed_ms
0,0.36249999993742676
1,0.30789999982516747
2,0.3217000003132853
3,0.4424999997354462
4,0.3547999999682361
5,0.2601999999569671
6,0.2913000002990884
7,0.25290000030508963
8,0.2604000001156237
9,0.27249999993728125
10,0.25120000009337673
11,0.2709000000322703
12,0.2844000000550295
13,0.33750000011423253
14,0.38170000016179984
15,0.36320000026535126
16,0.289000000066153
17,0.2546000000620552
18,0.3415000001041335
19,0.2503999999134976
20,0.25510000023132307
21,0.2681000000848144
22,0.3121999998256797
23,0.35630000002129236
24,0.39020000031086965
25,0.6655000001956068
26,0.2916000003096997
27,0.26180000031672535
28,0.2625999995871098
29,0.25700000014694524
30,0.25209999967046315
31,0.25820000018939027
32,0.2561999999670661
33,0.24610000036773272
34,0.2739000001383829
35,0.32699999974283855
36,0.3546999996615341
37,0.3859000003103574
38,0.3488000002107583
39,0.30280000009952346
40,0.3011000003425579
41,0.4023000001325272
42,0.27929999987463816
43,0.34290000030523515
44,0.45910000017101993
45,0.3088999997089559
46,0.40510000007998315
47,0.36030000001119333
48,0.3073000002586923
49,0.3110999996351893
50,0.3465999998297775
51,0.34060000007229974
52,0.3400000000510772
53,0.4564000000755186
54,0.2958000000035099
55,0.29770000037387945
56,0.2684999999473803
57,0.40149999995264807
58,0.3380000002835004
59,0.32289999990098295
60,0.32849999979589484
61,0.30309999965538736
62,0.5503000002136105
63,0.2878999998756626
64,0.3027999996447761
65,0.3832000002148561
66,0.3553999999894586
67,0.3359000002092216
68,0.340799999776209
69,0.3337000002829882
70,0.40740000031291856
71,0.27099999988422496
72,0.3157999999530148
73,0.383600000077422
74,0.26740000021163723
75,0.4054000000905944
76,0.3071999999519903
77,0.33799999982875306
78,0.3600000000005821
79,0.3482000001895358
80,0.330399999711517
81,0.30120000019451254
82,0.4217999999127642
83,0.35499999967214535
84,0.3289000001132081
85,0.31209999997372506
86,0.25839999989329954
87,0.2715999999054475
88,0.27980000004390604
89,0.3116999996564118
90,0.3167999998368032
91,0.33839999969131895
92,0.36920000002282904
93,0.3115999998044572
94,0.30860000015309197
95,0.27969999973720405
96,0.3219999998691492
97,0.2708000001803157
98,0.27869999985341565
99,0.2997999999934109
