trial_index,elapsed_ms
0,151.53910000026372
1,151.5002999999524
2,151.940299999751
3,151.70579999994516
4,152.22300000004907
5,152.26460000030784
6,151.5721000000667
7,150.93780000006518
8,151.87969999988127
9,151.02600000000166
10,151.53250000003027
11,152.4785999999949
12,151.5402999998514
13,150.77160000009826
14,151.85049999990952
15,154.4896999998855
16,152.87910000006377
17,151.74189999970622
18,151.63940000002185
19,151.38429999979053
20,150.5210000000261
21,151.61680000028355
22,151.8516000001
23,152.20739999995203
24,151.24629999991157
25,150.46470000015688
26,151.150200000302
27,151.32199999970908
28,153.47639999981766
29,151.7917999999554
30,151.3452000003781
31,151.04929999961314
32,151.9324000000779
33,150.81310000005033
34,151.36299999994662
35,167.48809999990044
36,152.04850000009174
37,151.97639999996682
38,150.38070000036896
39,151.37650000042413
40,151.61650000027294
41,153.70979999988776
42,151.0499000000891
43,151.8605999999636
44,152.10630000001402
45,167.5040000000081
46,152.1855000000869
47,151.24259999993228
48,160.7874000001175
49,151.9376999999622
50,152.69089999992502
51,151.49090000022625
52,166.2811999999576
53,152.30679999967833
54,152.98829999983354
55,152.33829999988302
56,151.1676999998599
57,150.51450000009936
58,152.1060000000034
59,151.9415000002482
60,151.52909999960684
61,151.38049999995928
62,152.0431999997527
63,150.83950000007462
64,151.72670000038124
65,151.1910999997781
66,150.9645000001001
67,161.85719999975845
68,151.63230000007388
69,152.88379999992685
70,152.60599999965052
71,153.0814000002465
72,151.37660000027608
73,151.70850000004066
74,151.045300000078
75,151.0465999999724
76,150.56060000006255
77,151.48110000018278
78,152.02999999974054
79,151.29139999999097
80,159.3391999999767
81,151.63080000002083
82,152.22499999981665
83,150.68160000009811
84,153.76860000014858
85,150.828399999682
86,150.59830000018337
87,150.91209999991406
88,150.37690000008297
89,151.18799999982002
90,150.94850000014048
91,151.59210000001622
92,154.10250000013548
93,158.81969999963985
94,152.2063999996135
95,151.89419999978782
96,151.17899999995643
97,165.8924999996998
98,150.87480000011055
99,153.98700000014287
