trial_index,elapsed_ms
0,0.3104999996139668
1,0.2947000002677669
2,0.46350000047823414
3,0.35649999972520163
4,0.3828999997494975
5,0.3028999999514781
6,0.32759999976406107
7,0.3133000000161701
8,0.35960000059276354
9,0.3501999999571126
10,0.3307999995740829
11,0.37060000067867804
12,0.37820000034116674
13,0.3660000002128072
14,0.3073999996558996
15,0.283800000033807
16,0.2961999998660758
17,0.5527000002985005
18,0.820499999463209
19,0.33679999978630804
20,0.3158999998049694
21,0.4116000000067288
22,0.32299999929819023
23,0.325400000292575
24,0.3065000000788132
25,0.32749999991210643
26,0.3507000001263805
27,0.38829999994050013
28,0.3415000001041335
29,0.3385999998499756
30,0.3181000001859502
31,0.31989999934012303
32,0.3100000003541936
33,0.4912000003969297
34,0.4528999998001382
35,0.35650000063469633
36,0.3175000001647277
37,0.32390000069426605
38,0.30479999986710027
39,0.313599999572034
40,0.3096000000368804
41,0.29540000014094403
42,0.4270999997970648
43,0.3169999999954598
44,0.32310000005963957
45,0.46070000007603085
46,0.330299999404815
47,0.3347000001667766
48,0.35180000031687086
49,0.36249999993742676
50,0.34840000080293976
51,0.3052000001844135
52,0.3038000004380592
53,0.31659999967814656
54,0.30590000005759066
55,0.30760000026930356
56,0.3057000003536814
57,0.357800000529096
58,0.3348000000187312
59,0.29910000012023374
60,0.2893999999287189
61,0.2990000002682791
62,0.2832000000125845
63,0.32469999950990314
64,0.3117000005659065
65,0.3090999998676125
66,0.5323999994288897
67,0.3526999998939573
68,0.3349999997226405
69,0.31119999948714394
70,0.31770000077813165
71,0.3012999995917198
72,0.3422999998292653
73,0.42970000049535884
74,0.35039999966102187
75,0.3310999991299468
76,0.37929999962216243
77,0.3268000000389293
78,0.30249999963416485
79,0.3436999995756196
80,0.30470000001514563
81,0.5392000002757413
82,0.3009999991263612
83,0.2730000005612965
84,0.31059999946592143
85,0.2761999994618236
86,0.3028999999514781
87,0.309699999888835
88,0.30760000026930356
89,0.32390000069426605
90,0.3100000003541936
91,0.3056999994441867
92,0.32449999980599387
93,0.45510000018111896
94,0.3752000002350542
95,0.3113000002485933
96,0.29860000086046057
97,0.31859999944572337
98,0.27399999999033753
99,0.32050000027084025
