trial_index,elapsed_ms
0,2280.138799999804
1,2290.617600000587
2,2285.5622000006406
3,2295.5996000000596
4,2292.1690000002855
5,2271.234199999526
6,2270.7534999999552
7,2298.4954999992624
8,2322.2586000001684
9,2288.7653999996473
10,2291.1715000000186
11,2295.692799999415
12,2305.898900000102
13,2295.6967999998596
14,2296.013799999855
15,2287.500999999793
16,2304.9324000003253
17,2305.8234000000084
18,2272.675600000184
19,2283.8754000003973
20,2328.0336999996507
21,2305.753800000275
22,2288.5882000000493
23,2276.966800000082
24,2289.6498999998585
25,2297.8401000000304
26,2296.3160999997854
27,2279.2019999997137
28,2272.513599999911
29,2299.7708000002604
30,2317.3047000000224
31,2297.4649999996473
32,2273.8424999997733
33,2285.407999999734
34,2301.167499999792
35,2305.794999999307
36,2279.628899999807
37,2282.7173999994557
38,2301.162099999601
39,2308.148799999799
40,2326.6978000001473
41,2279.518100000132
42,2293.1063999994876
43,2308.888399999887
44,2304.9864000004163
45,2277.3499999993874
46,2288.021999999728
47,2301.4640999999756
48,2302.889700000378
49,2280.883299999914
50,2311.092500000086
51,2329.659900000479
52,2301.62030000065
53,2281.0032000006686
54,2282.4323999993794
55,2290.849099999832
56,2306.903599999714
57,2302.5417999997444
58,2289.340500000435
59,2274.5938999996724
60,2336.5006999993057
61,2303.915700000289
62,2281.6695999999865
63,2283.332399999381
64,2354.3220999999903
65,2305.913099999998
66,2297.54899999989
67,2308.242600000085
68,2287.9177000004347
69,2308.003799999824
70,2318.381999999474
71,2286.9306000002325
72,2277.9860000000554
73,2305.5334999999104
74,2303.6386000003404
75,2285.718199999792
76,2279.281500000252
77,2296.582999999373
78,2305.3932000002533
79,2295.1718000003893
80,2305.267200000344
81,2298.6103000002913
82,2302.6325999999244
83,2305.6713999994827
84,2280.111800000668
85,2270.6205000004047
86,2292.5363000003927
87,2302.8854000003776
88,2287.5592999998844
89,2275.2519999994547
90,2285.0853999998435
91,2339.7580000000744
92,2303.456399999959
93,2283.1312999996953
94,2290.3299999998126
95,2317.8132000002734
96,2300.773200000549
97,2288.917699999729
98,2283.5359999999127
99,2288.5887000002185
